Title,language_type,primary_genre,overview,vote_average,vote_count,popularity,is_popular
Ardh,Bollywood,Drama,"Shiva struggles to become a mainstream actor in Mumbai despite being a theatre actor. With the help of his wife Madhu, he disguises himself as a transgender and begs for money to survive.",8.0,1.0,1.52,1
Nikamma,Bollywood,Action,"Nikamma is an action-comedy, which is a remake of 2017 Telugu film film Middle Class Abbayi.",3.8,4.0,2.52,0
Forensic,Bollywood,Crime,Little girls begin to disappear and their bodies are found soon after in the town of Mussoorie. Police officer Megha and forensic officer Johnny join hands to nab the killer.,4.8,5.0,1.827,0
Rashtra Kavach Om,Bollywood,Action,"Om, a special forces para commando officer, loses his memory while fighting enemies. After recovering from amnesia, Om is on a mission to save the nation from terrorists. As he fights the challenges the mission presents, he learns a shocking truth about his life.",5.8,4.0,2.948,0
HIT: The First Case,Bollywood,Crime,"Burdened by old demons, a troubled but brilliant detective sets out to solve two confounding abduction cases — one involving his own girlfriend.",6.4,16.0,5.834,0
Jaadugar,Bollywood,Comedy,A small-time magician with zero interest in football must lead his local team to the finals of a tournament if he wishes to marry the love of his life.,6.6,17.0,3.355,0
Judaa Hoke Bhi,Bollywood,Horror,"Aman Khanna, a once successful singer, is drowning his life into alcohol, despair and self- destruction after his 6 years old son died in a freak accident. Aman's wife, Meera who has an autobiographical bestseller to her credit is trying to cope with their financial burdens and Aman's lack of responsibility.",0.0,0.0,1.4,0
Shabaash Mithu,Bollywood,Drama,"From child prodigy to trailblazing captain, Indian women's cricket icon Mithali Raj navigates highs and lows of professional career. A story of a young girl's determination and stance against discrimination, about her spirit, passion, courage, and her dreams.",6.3,10.0,4.346,0
Shamshera,Bollywood,Action,"Set in the 1800s, the film is about a ""dacoit"" tribe who take charge in fight for their rights and independence against the British.",5.5,25.0,104.945,0
Ek Villain Returns,Bollywood,Action,"When a singer goes missing amid a serial killing spree, a cabbie and a businessman's son cross paths in a twisted tale where good and evil is blurred.",5.3,23.0,7.474,0
Good Luck Jerry,Bollywood,Comedy,"In dire need of money, Jerry gets drawn into the dangerous world of drug trafficking. Things go awry when she decides to quit.",5.4,8.0,2.386,0
Darlings,Bollywood,Comedy,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.",7.1,38.0,6.162,1
Laal Singh Chaddha,Bollywood,Drama,"Events in India's history — from the Emergency and the famous Cricket World Cup win to the Punjab riots — unfold from the perspective of an innocent Sikh man Laal Singh Chaddha, a person with a low IQ but high optimism. Laal is able to achieve everything under the sun but his childhood love continues to elude him.",6.6,43.0,9.746,0
Raksha Bandhan,Bollywood,Comedy,"Lala Kedarnath is blessed with 4 sisters. But his only worry is to find suitable grooms for each of them, as only then can he marry his childhood love. To what lengths will he go to succeed?",7.2,10.0,4.704,1
Dobaaraa,Bollywood,Science Fiction,"In the 1990s, during a wild thunderstorm night, 12-year-old Anay dies in a road accident shortly after he sees his next-door neighbor committing a crime. Twenty-five years later, in a strange turn of events, on an identical stormy night, Antara finds herself in front of a TV set through which she attempts to save Anay’s life but her good deed causes a disturbing chain of unexpected consequences.",5.5,14.0,4.087,0
Holy Cow,Bollywood,Comedy,"The story of how Salim's cow, Ruksar, goes missing and he starts searching for it at night.",4.0,2.0,1.429,0
Cuttputlli,Bollywood,Crime,"When a small town gets plunged into the nightmare of serial killings, rookie cop Arjan embarks on a chase for the truth and unravels a gruesome conspiracy.",6.1,14.0,4.161,0
Jahaan Chaar Yaar,Bollywood,Comedy,"Four dedicated housewives - Shivangi, Mansi, Neha, and Sakhina, whose lives revolve only around their husband and family, decide to escape the suffocating routine life by traveling to Goa for a few days to live life on their terms. They have no idea that their vacation will lead to a series of life-changing events.",0.0,0.0,1.028,0
Matto Ki Saikil,Bollywood,Family,'Matto Ki Saikal' revolves around the story of a family's struggle to buy a new bicycle and how their lives depend on it.,0.0,0.0,0.64,0
Middle Class Love,Bollywood,Comedy,"A young college boy is frustrated being in middle-class family setup and finds love the ideal way to get out of it. However, the path to getting rid of the middle-class thinking and probing parents wasn't so easy as it seemed initially, especially when he thought love would save him.",7.0,1.0,1.252,1
Saroj Ka Rishta,Bollywood,Drama,A Carefree and Confident Girl (Sanah Kapur) of her area who finds Love in Vikram(Randeep Rai).,0.0,0.0,1.778,0
Atithi Bhooto Bhava,Bollywood,Comedy,Srikant's life turns upside down when he bumps into a middle-aged ghost who claims to be his grandson from his previous birth. Things take an even more comical turn when the ghost seeks Srikant's help to meet his long-lost love.,9.0,2.0,1.951,1
Dhokha: Round D Corner,Bollywood,Crime,"When a delusional housewife with a personality disorder is taken hostage by a terrorist on the loose and a husband accused of cheating on his wife have their own versions of reality, how do we know who's saying the truth?",5.4,9.0,3.238,0
Plan A Plan B,Bollywood,Romance,"When an earnest matchmaker moves into an office next to a cynical divorce attorney, their bitter conflict is complicated by a growing attraction.",6.067,15.0,5.522,0
Vikram Vedha,Bollywood,Action,"Vikram, an honest officer with the Lucknow police, is on a mission to find and eliminate gangster Vedha. However, when Vedha surrenders himself to the police and starts narrating stories to Vikram, it blurs the lines between good and evil. Vedha questions Vikram's righteousness while the latter believes he is fair and just. But is he?",7.3,18.0,7.533,1
Maja Ma,Bollywood,Comedy,A rumour about a housewife famous for her dancing and cooking threatens to disrupt her middle-class family's life on the eve of her son's engagement.,5.6,8.0,5.976,0
Nazar Andaaz,Bollywood,Comedy,"Sudhir, blind by birth, lives alone with his housemaid Bhavani. While Bhavani is out, he takes in Ali to help around the house. Both Bhavani and Ali grow envious of each other. Nazar Andaaz is a comedic yet heartfelt story of these three.",5.5,2.0,2.995,0
Doctor G,Bollywood,Comedy,"Uday Gupta, a medical college student wanted to specialise in Orthopaedic, but is stuck in an all-female class of Gynaecology. Will he change his department, or will the department change him?",6.9,22.0,5.063,0
Code Name: Tiranga,Bollywood,Action,"Tasked with capturing a wanted criminal, a fierce undercover agent wrestles with perilously high stakes when her heart is pulled into the mission.",4.8,5.0,2.243,0
Ram Setu,Bollywood,Action,An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India’s heritage.,5.275,20.0,5.135,0
Thank God,Bollywood,Comedy,"An egoistic real estate broker in huge debts, meets with an accident. As he gains consciousness, he realizes that he is in heaven. God appears before him and informs him that he must play a 'Game of Life'. If he manages to win, he will be sent back to earth; if he loses, he will be sent to hell.",6.9,22.0,5.553,0
Phone Bhoot,Bollywood,Horror,"Two crazy, jobless, horror-film addicts Major and Gullu, under immense family pressure to find work, hit upon the idea to float a unique ghost-capturing service when they meet a spirit, Ragini, who makes their business a success but in return asks them for a favour which they are compelled to honour.",5.6,14.0,6.995,0
Double XL,Bollywood,Comedy,"Rajshri wants to be a sports presenter on TV but is promptly told that she is 'too healthy' for it. Saira, a fashion designer also has hit rock bottom in her life after she is cheated on by her boyfriend. A chance encounter between the two leads them to London to discover themselves and challenge the norms of who's a 'normal woman'.",6.0,5.0,1.946,0
Tadka,Bollywood,Comedy,"A middle-aged Tukaram is passionate about food and archaeology but it’s a misplaced call from Madhura that adds the tadka to his life. While love simmers, Nicole and Sidharth’s story spices up too.",7.3,3.0,3.359,1
Rocket Gang,Bollywood,Comedy,"Five friends take a getaway trip and stay at Wonder Villa. But, the haunted villa's supernatural powers suck them in and their only chance to survive is by dancing.",6.0,1.0,1.96,0
Uunchai,Bollywood,Comedy,"Amit, Om, Javed and Bhupen - a group of four friends - have come a long way in life. Bhupen had a lifelong dream of going to Mount Everest with his three friends but the idea is quashed immediately as soon as he expresses it to them during a get-together. However, Bhupen's sudden death leads the trio to leave their cozy Delhi lives and trek to Everest Base Camp as friendship was their only motivation.",6.0,10.0,4.449,0
"Monica, O My Darling",Bollywood,Crime,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing — not even death — is what it seems to be.",7.2,42.0,18.269,1
Thai Massage,Bollywood,Comedy,"A typical middle-class 70-year-old widower, Atmaram Dubey, who has been celibate for decades, realises he will probably never have sex. This awakening catapults him into an outrageous journey of self-discovery defying societal norms.",5.0,3.0,3.041,0
Mister Mummy,Bollywood,Comedy,"Amol, a cranky PT teacher and his wife Gugloo have opposing choices when it comes to children but destiny has something else planned for the childhood sweethearts.",5.6,8.0,3.002,0
Bhediya,Bollywood,Comedy,"Inspired by legendary folklore rooted in Arunachal Pradesh, Bhediya tells the story of Bhaskar, a man who gets bitten by a mythical wolf and begins to transform into the creature himself. As Bhaskar and his ragtag buddies try to find answers, he is worried that the monster in him will wipe out human existence in the local town.",6.7,20.0,14.201,0
Qala,Bollywood,Drama,"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",6.7,16.0,5.904,0
An Action Hero,Bollywood,Action,"At the age of just 30, Maanav at the peak of his acting career gets caught up in a murder accusation, which turns his own life into an eccentric action thriller as he flees the country, with a vengeful politician hot on his heels.",6.5,28.0,4.626,0
Freddy,Bollywood,Romance,"Introverted and awkward Dr. Freddy Ginwala desperately searches for a soulmate. When he finally finds her, the relationship becomes as painful as a root canal.",7.6,16.0,4.87,1
India Lockdown,Bollywood,Drama,The Indian government announces a country-wide lockdown for 21 days due to the pandemic. India Lockdown encapsulates the story of four out of lakhs of individuals whose lives came to a standstill.,6.7,3.0,2.416,0
Salaam Venky,Bollywood,Drama,"Sujata, an ideal mother, who battles the most challenging situations one can ever face with a smile.",7.8,5.0,4.267,1
Maarrich,Bollywood,Thriller,"2 brutal murders, 6 suspects and one fearless cop - Rajiv Dixit, a sharp-witted Mumbai police officer , is on a mission to track down the unidentified killer behind these murders.",10.0,1.0,1.4,1
Blurr,Bollywood,Horror,"With progressive blindness setting in, Gayatri has to find answers to her twin sister's unlikely death. As the lines of reality keep getting blurred, is she ready to look the truth in the eye?",4.0,5.0,1.825,0
Govinda Naam Mera,Bollywood,Comedy,"An abusive wife, a hot girlfriend and a court case, Govinda Waghmare is just not able to catch a break. The icing on top of that horrible cake - a murder.",5.4,9.0,4.628,0
Cirkus,Bollywood,Comedy,"Two sets of identical twins are accidentally separated at birth. Several years later, when they are coincidentally in the same town, there is a lot of confusion and misunderstanding when people mistake them for each other.",5.2,6.0,5.856,0
Nail Polish,Bollywood,Crime,"A high profile defence lawyer is promised a Rajya Sabha seat if he wins a case of an accused with charges of killing two migrant children. However, there's much more than what meets the eye in this courtroom drama that explores the uncertainty of human mind and the journey of criminal discovery.",6.4,11.0,2.107,0
Ramprasad Ki Tehrvi,Bollywood,Drama,"Ramprasad's entire family gathers under one roof for 13 days after his death, to perform and observe the Hindu traditions and rituals called the tehrvi. During the course, the family’s dynamics, politics, and insecurities come out, and then they realise that the importance of people and things are only evident in retrospect.",6.0,15.0,2.395,0
Tribhanga,Bollywood,Drama,"When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship.",7.1,26.0,4.576,1
Jamun,Bollywood,Drama,"A father trying to find a groom for his daughter who is squinted. In this process, he is diagnosed with Parkinson s disease. Watch Jamun to find out if he gets his daughter married.",7.0,2.0,0.671,1
Madam Chief Minister,Bollywood,Drama,A political-drama where a young woman from a small village rises to power into the world of politics by breaking barriers of caste and patriarchy and overcomes the obstacles placed by her opponents to become the chief minister and work for the upliftment of backward classes.,5.8,9.0,3.6,0
Machaan,Bollywood,Drama,"Bhola, a good Samaritan from a small town of Sabalpur, is diagnosed with AIDS. A village man Madhav who is jealous of Bhola's reputation spreads the rumour that AIDS is a deadly contagious disease that happens to immoral people. That propels the villagers to desert Bhola. When Bhola attempts to meet his family, Madhav leads a group of fire-breathing villagers to drive him away from their village, which results in terrifying consequences. Will the villagers ever open their eyes to the truth or will they wallow in their obnoxious blind beliefs?",8.5,2.0,0.6,1
Lahore Confidential,Bollywood,Thriller,"The story revolves around a humble, divorced Indian woman named Ananya and amidst her mundane-routine life, she finds herself on a secret intelligence duty in Pakistan. But her love for Urdu literature will have her falling in love that will eventually put them in a tug of war with each other.",6.0,2.0,1.058,0
Tank Cleaner,Bollywood,Thriller,A young orphan boy working as a tank cleaner is trapped in a water tank by someone. He struggles for his life for four days in this tank full of water.,9.0,3.0,3.089,1
Bombay Rose,Bollywood,Animation,"Amidst the bustle of a magnetic and multifaceted city, the budding love between two dreamers is tested by duty and religious divides.",6.6,26.0,4.259,0
Time to Dance,Bollywood,Drama,"When a ballroom dancer’s shot at a crucial tournament is jeopardized, a street dancer must face his own painful past and step up as her new partner.",4.0,1.0,1.4,0
Ahaan,Bollywood,Comedy,"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbour, a young man with Down Syndrome.",6.0,1.0,0.905,0
Mumbai Saga,Bollywood,Action,"The film, set in the 1980s and 90s, chronicles the transformation of Bombay to Mumbai. The story is a cat and mouse game between a deadly don, Amartya Rao, who doesn’t think twice before killing, and there’s nobody who could stop him and a cop, who is dogging his every step.",5.7,18.0,5.431,0
Sandeep Aur Pinky Faraar,Bollywood,Thriller,"Sandeep, a bank executive & Pinky, a suspended cop, are marked for a kill. Phones tapped, accounts blocked, they escape but escaping is not freedom.",6.5,15.0,3.64,0
D Company,Bollywood,Action,"The biggest saga of the year is about to unfold the dark side of India's underworld enterprise. The film will showcase the true story behind India's biggest underworld enterprise, D Company, a Mumbai based underworld gang headed by Dawood Ibrahim Kaskar.",5.0,1.0,0.656,0
Pagglait,Bollywood,Drama,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",6.7,31.0,8.183,0
Saina,Bollywood,Drama,Champion. Olympic Medallist. The Doyen of Indian Badminton. Saina Nehwal is all of this and much more. This biopic chronicles the inspiring story of a gifted youngster's ascendance to the pinnacle of the Badminton World through sheer passion and perseverance.,6.3,6.0,3.344,0
Silence... Can You Hear It?,Bollywood,Thriller,"When Pooja, the daughter of retired Justice Chaudhary, is found murdered under mysterious circumstances, ACP Verma is roped in to investigate this high-profile case. When everyone is hiding the truth, justice will thrive despite the silence.",6.1,9.0,2.121,0
Koi Jaane Na,Bollywood,Thriller,A heartbroken writer struggling with writer`s block goes to a quiet hill station where he finds love again but uncovers a copycat serial killer who has mysteriously come alive and is killing everyone around him.,6.7,3.0,3.44,0
The Big Bull,Bollywood,Crime,"Inspired by events from the late '80s and the early '90s that shook the country's financial fabric, The Big Bull tells the story of the biggest hustle in the stock market.",5.3,9.0,5.389,0
Hello Charlie,Bollywood,Adventure,"Charlie, a simpleton daydreamer, currently a pizza delivery boy is tasked with driving his uncle's truck , Girnaar Express, to deliver a gorilla from Mumbai to the jetty at Diu. However, Charlie is unaware that Gorilla is disguised business tycoon MD Makwana, who is on the run after committing a multi-crore scam.",6.6,13.0,3.249,0
Ajeeb Daastaans,Bollywood,Drama,An anthology of four stories that explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,6.4,29.0,5.221,0
Raat Baaki Hai,Bollywood,Crime,"It's a story of one night where estranged lovers Kartik and Vasuki end up meeting each other after 12 years under strange circumstances. Kartik is on a run for being a murder suspect. However, there is more than what meets the eye.",6.0,1.0,1.263,0
Radhe,Bollywood,Action,"As Mumbai’s youth are falling prey to rampant drug abuse, suspended cop Radhe is recalled for a clean-up mission. But Radhe is up against a dangerous new outlaw Rana, who will stop at nothing to rule the city.",4.5,38.0,4.686,0
Sardar Ka Grandson,Bollywood,Comedy,"A devoted grandson's mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair.",7.6,21.0,5.473,1
Shaadisthan,Bollywood,Adventure,An accidental road trip from Mumbai to Ajmer with a quirky wedding band forces Arshie’s orthodox parents to open their eyes to a new way of life.,7.0,3.0,1.425,1
Sherni,Bollywood,Drama,"A jaded forest officer leads a team of trackers and locals intending to capture an unsettled tigress while battling intense obstacles and pressures, both natural and man-made.",6.6,16.0,2.726,0
Haseen Dillruba,Bollywood,Mystery,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",6.5,55.0,7.479,0
Collar Bomb,Bollywood,Crime,"A celebrated cop is forced to commit crimes before a suicide bomber blows up a school. As he races against time, the idyllic town around him descends into chaos.",4.0,2.0,2.068,0
State of Siege: Temple Attack,Bollywood,Action,"Based on the true incident of the 2002 terrorist attack in Gujarat's Akshardham temple, the story revolves around the bravery of NSG commandos, who stood up for their country and their people in the worst of times.",5.5,11.0,5.655,0
14 Phere,Bollywood,Comedy,"Sanjay, a Rajput from Jahanabad, falls in love with his college senior Aditi, a Jat from Jaipur. They want to get married, but don't want to hurt their families. So they plan to get married by arranging a fake set of parents. Will they succeed?",6.7,9.0,2.628,0
Hungama 2,Bollywood,Comedy,"A farcical comedy involving two families. Kapoors are headed by Colonel, who stays with his younger son, while Tiwaris are a childless couple. The lives of Kapoors and Tiwaris were as neat and perfect until one day a woman shows up at the door with an illegitimate child. Who is the father of this child?",5.7,11.0,4.169,0
Mimi,Bollywood,Comedy,"An aspiring actress in a small town in Rajasthan agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes an unexpected turn when they refuse to have the child anymore.",7.1,52.0,9.281,1
Dial 100,Bollywood,Mystery,"The Police emergency control room receives a call from a woman, who sounds troubled and wants to commit suicide. As officer Nikhil tries to calm her down, he discovers that the hysterical woman has bought a gun. When asked, she tells him to stay tuned to find out about her real intentions. But as time progresses, Nikhil figures out that the woman has sinister intentions and his family is in danger.",7.3,5.0,1.387,1
Shershaah,Bollywood,Action,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24.",7.3,61.0,8.96,1
Bhuj: The Pride of India,Bollywood,War,"Set in the backdrop of the 1971 Indo-Pakistan War, the film tells the story of the IAF Squadron Leader Vijay Karnik, and his bravery, patriotism and determination.",6.2,15.0,3.24,0
Bell Bottom,Bollywood,Thriller,"By the early ‘80s, India had already witnessed multiple airplane hijacks. In 1984, the country was made to face another such challenge. BellBottom, a RAW Agent, sees through the plan and thus begins India's first overseas covert operation. An operation, lead by a forgotten hero, that went on to create one of the most defining moments for India.",6.7,23.0,4.284,0
Chehre,Bollywood,Thriller,"An ad agency executive takes shelter at an old man's home in mountains amid a dangerous snow storm, but soon finds himself trapped with no way out when the man and his clan of veterans hook him for a game of crime and punishment.",6.9,13.0,3.634,0
Helmet,Bollywood,Comedy,"Desperate to make some quick money, Lucky and his friends rob an e-commerce company truck. But to their surprise, the looted boxes contain condoms instead of electronic gadgets. They decide to sell them directly to the people, who want the product but are too embarrassed to buy it publicly.",6.0,6.0,1.128,0
Faactory,Bollywood,Action,An obsessive lover kidnaps a woman and forces her to fall for him.,1.0,1.0,0.6,0
Bhoot Police,Bollywood,Adventure,"Two brothers Vibhooti and Chiraunji have fought their share of ghosts. However, a new case in a remote village forces them to rethink their own abilities and beliefs.",5.5,22.0,3.748,0
Kya Meri Sonam Gupta Bewafa Hai?,Bollywood,Comedy,"Sintoo, a dejected lover, pens down his feelings on a currency note which goes viral and triggers a chain of hilarious events. Will he overcome the heartbreak and find closure?",6.0,3.0,1.544,0
Ankahi Kahaniya,Bollywood,Drama,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",6.5,12.0,3.899,0
Shiddat,Bollywood,Romance,"Love-struck Jaggi can cross the seven seas for his dream girl, Kartika. Even if it means stopping her wedding as he doesn't want to be friend-zoned.",7.8,12.0,4.834,1
Rashmi Rocket,Bollywood,Drama,"Born in the small-town of Kutch, Rashmi overcomes all societal barriers to become a national-level athlete. But her glory is hindered when she is asked to undergo a gender test.",7.6,8.0,1.707,1
Sanak,Bollywood,Action,"Set in Mumbai, the story unfolds in a hospital that is under siege, where Vivaan Ahuja and his wife Anshika are trapped. Does he manage to rescue her and other hostages from the dangerous hoodlums?",6.3,13.0,2.123,0
Sardar Udham,Bollywood,Crime,"A young Sardar Udham Singh left deeply scarred by the Jallianwala Bagh massacre, escaped into the mountains of Afghanistan, reaching London in 1933-34. Carrying an unhealed wound for 21 years, the revolutionary assassinated Michael O’Dwyer on 13th March, 1940, the man at the helm of affairs in Punjab, April 1919 to avenge the lost lives of his beloved brethren.",7.2,58.0,12.339,1
Bhavai,Bollywood,Romance,"The story is about the dream of Rajaram and its impact on the society. Rajaram an enthusiast by nature had only one dream of becoming an actor since his childhood. Being a village resident, he was deprived of that chance to live his dream. Will the duo be able to survive the obstacles or become a victim and succumb to the blind beliefs of the society? Who is the real Ravan, Rajaram or We ""The Society""?",0.0,0.0,1.737,0
Dybbuk,Bollywood,Horror,"Mahi, a newly married woman, brings an antique Jewish box into her home. When Mahi and her husband Sam begin to have paranormal experiences, they soon learn that the box is a dybbuk containing an evil spirit. The couple then seeks the help of a rabbi to unravel its mystery. Will they survive this ordeal before their child is born?",5.8,10.0,6.605,0
Hum Do Hamare Do,Bollywood,Comedy,"Self-made man Dhruv and social media star Anya fall in love and decide to marry. Just one problem - he's an orphan because  Anya will only marry a guy, who has an adorable family, so the only solution - arrange a 'fake' set of parents.",5.7,12.0,2.554,0
Meenakshi Sundareshwar,Bollywood,Romance,"Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups — and hilarity — that arise from their long-distance marriage.",5.6,18.0,4.102,0
Sooryavanshi,Bollywood,Action,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",5.8,137.0,27.231,0
Bunty Aur Babli 2,Bollywood,Comedy,"Bunty and Babli are forced out of retirement as a new pair of cons emerge, doing robberies in their name with their trademark sigil across India.",6.8,4.0,4.958,0
Dhamaka,Bollywood,Thriller,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",7.0,74.0,16.413,1
Cash,Bollywood,Comedy,"Armaan, a 25-year old middle-class boy has an ambition of becoming India’s Elon Musk. On the day when the government announces demonetization, Armaan takes on the near-impossible task of laundering 5 crores of “dirty” money in less than 52 days before the banks stop accepting old notes,  along with his buddy Soda and a crooked real estate agent, Neha. But soon, hot on his heels are politicians, their minions, and a compulsively punctual dabbawala-turned-cop.",7.0,1.0,1.204,1
Satyameva Jayate 2,Bollywood,Action,"Satya Azad, an upright Home Minister wants to cleanse the country of corruption with his Anti-Corruption Bill. However, it fails to get enough ‘Ayes’, not only from his allies, but also from his wife Vidya a member of the Opposition, who votes ‘Nay’ in the Vidhan Sabha. When a couple of gruesome killings take place in the city, ACP Jay Azad is brought in to nab the murderer, never mind his motive.",5.8,12.0,3.43,0
Antim: The Final Truth,Bollywood,Action,"A farmer's son is forced to leave the village and move to the city, where he soon becomes a dreaded gangster and crosses paths with a fearless cop determined to eliminate criminals.",6.9,17.0,6.271,0
Chhorii,Bollywood,Horror,"Sakshi is eight months pregnant with her first child when she and Hemant are forced out of their home. They escape from the city and seek refuge in a house located deep inside sugarcane fields. The house is ridden with dark secrets that start unravelling as the story unfolds, posing a threat to Sakshi and her unborn child. Even as Sakshi tries to save herself and her unborn baby, scary sightings of three mysterious kids and a charred monster coupled with an eerie lullaby, emanating from an old transistor, wreak havoc with her sanity.",6.4,11.0,3.042,0
Tadap,Bollywood,Action,"Passionate Ishana falls madly in love with Ramisa. As their love grows stronger by the day, fate plays the villain and throws one hurdle after another.",7.2,6.0,3.711,1
Bob Biswas,Bollywood,Crime,"Bob Biswas, a hitman-for-hire, comes out of a prolonged coma and struggles to recall his identity but suffers a moral dilemma when the memories of his past resurface.",7.1,9.0,2.49,1
Chandigarh Kare Aashiqui,Bollywood,Drama,"Manu, a bodybuilder from Chandigarh, India, falls in love with Maanvi, a Zumba teacher. All seems well until a revelation causes turmoil in their love story.",6.1,23.0,5.48,0
Velle,Bollywood,Comedy,"Rishi is a writer/director who is narrating a script close to his heart to Rohini - possibly the lead protagonist of his film. As he begins his narration, we step into the world of Rahul, Riya, Rambo and Raju - four friends living their best days amusing people with childish shenanigans in school.  These four ""Vellas"" are complete and content with each other's company and couldn't care less about the world around them until life hits them in the face. An enthralling script narration on one end, and four immature kids trying to correct a plan gone wrong on the other - Velle is about laughter, friendships, frenzy and the unpredictability of life.",7.5,2.0,1.579,1
Code Name Abdul,Bollywood,Thriller,Four New York-based agents of India's Research and Analysis Wing search for a man involved in funding terrorist attacks.,0.0,0.0,0.873,0
